Name	Set	Imagefile	Copies	Type	Sphere/Encounter Set(icon)	Unique	Traits	Engage	Cost	Willpower/Threat	Attack	Defense	Hit Points	Quest Points	Abilities	Number	Card Text	Shadow Text	Script	Sound
CUSTOM.-.Branching Paths	CUSTOM.NinjaDorg	NinjaDorg6_0a.png,encounter2.png		CUSTOM.-.Quest	CUSTOM.-.(NinjaDorg-6).-.Branching Paths (Orcs, Paw, Gollum, Tower)															
CUSTOM.-.Dark Road	CUSTOM.NinjaDorg	NinjaDorg6_1a.png,encounter2.png		CUSTOM.-.Quest	CUSTOM.-.(NinjaDorg-6).-.Branching Paths (Orcs, Paw, Gollum, Tower)															
CUSTOM.-.Sacred Shrine	CUSTOM.NinjaDorg	NinjaDorg6_2a.png,encounter2.png		CUSTOM.-.Quest	CUSTOM.-.(NinjaDorg-6).-.Branching Paths (Orcs, Paw, Gollum, Tower)															
CUSTOM.-.Besieged	CUSTOM.NinjaDorg	NinjaDorg6_3a.png,encounter2.png		CUSTOM.-.Quest	CUSTOM.-.(NinjaDorg-6).-.Branching Paths (Orcs, Paw, Gollum, Tower)															
CUSTOM.-.Take Flight	CUSTOM.NinjaDorg	NinjaDorg6_4a.png,encounter2.png		CUSTOM.-.Quest	CUSTOM.-.(NinjaDorg-6).-.Branching Paths (Orcs, Paw, Gollum, Tower)															
CUSTOM.-.Liberation	CUSTOM.NinjaDorg	NinjaDorg6_5a.png,encounter2.png		CUSTOM.-.Quest	CUSTOM.-.(NinjaDorg-6).-.Branching Paths (Orcs, Paw, Gollum, Tower)															
CUSTOM.-.Abandoned	CUSTOM.NinjaDorg	NinjaDorg6_6a.png,encounter2.png		CUSTOM.-.Quest	CUSTOM.-.(NinjaDorg-6).-.Branching Paths (Orcs, Paw, Gollum, Tower)															
CUSTOM.-.Shadowdown	CUSTOM.NinjaDorg	NinjaDorg6_7a.png,encounter2.png		CUSTOM.-.Quest	CUSTOM.-.(NinjaDorg-6).-.Branching Paths (Orcs, Paw, Gollum, Tower)															
CUSTOM.-.Victory	CUSTOM.NinjaDorg	NinjaDorg6_8a.png,encounter2.png		CUSTOM.-.Quest	CUSTOM.-.(NinjaDorg-6).-.Branching Paths (Orcs, Paw, Gollum, Tower)															
Dain Ironfoot	RTM	RTM01	1	Hero	Leadership	*	Dwarf.	11		1	2	3	5			116			<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Dawn Take You All	RTM	RTM02	3	Event	Leadership				2							118				
Dunedain Signal	RTM	RTM03	3	Attachment	Leadership		Signal.		1							117				
Shadow of the Past	RTM	RTM04	3	Event	Neutral				2							125				
Mirkwood Runner	RTM	RTM05	3	Ally	Lore		Silvan. Scout.		3	1	2	0	2			123	While Mirkwood Runner is attacking alone, the defending enemy does not count its?DEF			
Rumour from the Earth	RTM	RTM06	3	Event	Lore				0							124				
Astonishing Speed	RTM	RTM07	3	Event	Spirit				3							122				
West Road Traveller	RTM	RTM08	3	Ally	Spirit		Rohan.		2	2	0	0	1			121				
Eagles of the Misty Mountains	RTM	RTM09,token01	3	Ally	Tactics		Creature. Eagle.		4	2	2	2	4			119				
Support of the Eagles	RTM	RTM10	3	Attachment	Tactics		Boon.		3							120				
Gollum (RTM)	RTM	RTM11,encounter	1	Objective	(Path) Return to Mirkwood	*	Creature.			-	-	-	5			130				
Attercop, Attercop	RTM	RTM12,encounter	3	Enemy	(Path) Return to Mirkwood		Creature. Spider.	44		2	8	4	6			139				
Mirkwood Bats	RTM	RTM13,encounter	4	Enemy	(Path) Return to Mirkwood		Creature.	22		1	1	1	1			138				
Dry Watercourse	RTM	RTM14,encounter	3	Location	(Path) Return to Mirkwood		Forest.			2				2		132				
The Spider's Ring	RTM	RTM15,encounter	4	Location	(Path) Return to Mirkwood		Forest.			3				2		131				
Wood Elf Path	RTM	RTM16,encounter	3	Location	(Path) Return to Mirkwood		Forest.			1				3		134				
Woodman's Glade	RTM	RTM17,encounter	3	Location	(Path) Return to Mirkwood		Forest.			2				2		133				
Gollum's Anguish	RTM	RTM18,encounter	2	Treachery	(Path) Return to Mirkwood		Tantrum.									135				
Gollum's Bite	RTM	RTM19,encounter	2	Treachery	(Path) Return to Mirkwood		Tantrum.									136				
Wasted Provisions	RTM	RTM20,encounter	3	Treachery	(Path) Return to Mirkwood		Tantrum.									137				
Through the Forest	RTM	RTM21a.png,RTM21b.png	1	Quest	(Path, Paw, Spider) Return to Mirkwood									12		126				
Escape Attempt	RTM	RTM22a.png,RTM22b.png	1	Quest	(Path, Paw, Spider) Return to Mirkwood									3		127				
To the Elvin King's Halls	RTM	RTM23a.png,RTM23b.png	1	Quest	(Path, Paw, Spider) Return to Mirkwood									7		128				
Ambush	RTM	RTM24a.png,RTM24b.png	1	Quest	(Path, Paw, Spider) Return to Mirkwood									2		129				
Abandoned Tools 	KAZ	KAZ01,encounter	1	Objective 	(Map) Flight from Moria										Guarded. Restricted. 	29	Action: Exhaust a her to claim this objective if it has no encounters attached. Then, attach Abandoned Tools to that hero. (If detached, return Abandoned Tools to the staging area.) 			
A Foe Beyond 	KAZ	KAZ02,encounter	4	Treachery 	(Map) Flight from Moria											28	When Revealed: The last player deals damage equal to The Nameless Fear's [Attack] to a hero he controls. This effect cannot be canceled. 	Shadow: Deal damage equal to The Nameless Fear's [Attack] to the defending character. 		
Bitter Wind 	KAZ	KAZ03,encounter	3	Treachery 	(MM) Misty Mountains											56	When Revealed: The first player must discard 3 resources from each hero he controls. 	Shadow: Defending player must discard 2 resources from each hero he controls. 		
Black Uruks 	KAZ	KAZ04,encounter	4	Enemy	(MM) Misty Mountains		Uruk. Orc. 	32		2	3	3	2			54	When Revealed: The first player must choose and discard an attachment from a questing character, if able. 	Shadow: If this attack is undefended, deal 2 additional shadow cards to attacking enemy. 		
Book of Mazarbul 	KAZ	KAZ05,encounter	1	Objective	(Room) The Seventh Level	*	Item. Artifact. 								Restricted 	24	Action: Exhaust a hero to claim this objective. Then, attach Book of Mazarbul to that hero. (If detached, return Book of Mazarbul to the staging area.)	Attached hero cannot attack and does not exhaust to commit to a quest. 		
Branching Paths 	KAZ	KAZ06,encounter	3	Location	(Torch) Twists and Turns 		Underground. Bridge. 			1				3		36	While Branching Paths is in the staging area each Dark location gets +1 [Threat]. Forced: After Branching Paths leaves play as an explored location, look at the top 3 cards of the encounter deck. Players must choose 1 of those to reveal and add to the staging area, moving the other 2 to the bottom of the deck. 			
Bridge of Khazad-dum 	KAZ	KAZ07,encounter	1	Location 	(Pick) Into the Pit 	*	Underground. Bridge. 			3				3	Victory 2	18	While Bridge of Khazad-dum is the active location, players cannot play cards.			
Burning Low 	KAZ	KAZ08,encounter	3	Treachery	(Torch) Twists and Turns 											40	When Revealed: Each enemy and location currently in the staging area gets +1 [Threat] until the end of the phase. (+3 [Threat] instead if it is a Dark location.) Players may exhaust a Cave Torch to cancel this effect. 	Shadow: Attacking enemy gets +2 [Attack]. 		
Cave In 	KAZ	KAZ09,encounter	3	Treachery	(Rock) Hazards of the Pit		Hazard 									48	When Revealed: Remove all progress tokens from the current quest card and active location. If Cave In removed no progress tokens, it gains surge. 			
Cave Torch 	KAZ	KAZ10,encounter	1	Objective	(Torch) Twists and Turns 		Light									41	Attach to a hero. Restricted. Action: Exhaust Cave Torch to place up to 3 progress tokens on a Dark location. Forced: After Cave Torch exhausts, discard the top card of the encounter deck. If that card is an enemy, add it to the staging area.			
Cave Troll	KAZ	KAZ11,encounter	2	Enemy	(Room) The Seventh Level		Troll	33		4	6	4	7		Victory 2	20	For each excess point of combat damage dealt by Cave-troll (damage that is dealt beyond the remaining hit points of the character damaged by its attack) you must damage another character you control.			
Crumbling Ruin 	KAZ	KAZ12,encounter	2	Treachery	(Rock) Hazards of the Pit		Hazard 									49	When Revealed: Each player must exhaust a character and discard the top card of his deck, if able. If the printed cost of the discarded card is equal to or higher than the remaining hit points of the exhausted character, discard the exhausted character. 			
Dark and Dreadful 	KAZ	KAZ13,encounter	2	Treachery	(Rock) Hazards of the Pit											50	When Revealed: Deal 1 damage to each exhausted character. (2 damage instead if the active location is a Dark location.)	Shadow: Deal 1 damage to the defending character. (Attacking enemy gets +2 [Attack] instead if this attack is undefended.) 		
Dreadful Gap 	KAZ	KAZ14,encounter	1	Location	(Rock) Hazards of the Pit		Underground. Hazard. 		X	2					Victory 3	52	X is the number of characters in play. When Revealed: Immediately travel to Dreadful Gap. If another location is currently active, return it to the staging area.			
East Gate	KAZ	KAZ15,encounter	1	Location	(Pick) Into the Pit 	*	Gate			7				7	Victory 1	16	Immune to card effects. Players cannot optionally engage enemies and no engagement checks are made  Forced: After East-gate leaves play as an explored location, add First Hall to the staging area.			
First Hall	KAZ	KAZ16,encounter	1	Location	(Pick) Into the Pit 	*	Underground.			2				2	Victory 1	17	Travel: Each player must raise his threat by 3 to travel here. Forced: After First Hall leaves play as an explored location, add Bridge of Khazad-dum to the staging area.			
Fouled Well 	KAZ	KAZ17,encounter	3	Location	(Rock) Hazards of the Pit		Underground. Dark. Hazard. 			3				3		53	When Revealed: Each player may choose and discard 1 card at random from his hand. If all players did not discard 1 card, Fouled Well gains surge. 			
Goblin Archer 	KAZ	KAZ18,encounter	2	Enemy	(Goblin Hood) Plundering Goblins 		Goblin. Orc. 	48		2	1	3	1			32	Players cannot optionally engage Goblin Archer. Characters with ranged are eligible to attack Goblin Archer while it is in the staging area. Forced: After an enemy is revealed from the encounter deck, the first player must deal 1 damage to 1 character he controls. 			
Goblin Follower 	KAZ	KAZ19,encounter	4	Enemy	(Torch) Twists and Turns 		Goblin. Orc. 	33		1	3	2	4			35	When Revealed: Goblin Follower engages the last player. 	Shadow: Attacking enemy gets +1 [Attack]. (+2 [Attack] instead if attacking the last player.) 		
Goblin Scout 	KAZ	KAZ20,encounter	3	Enemy	(Goblin-Body) Goblins of the Deep 		Goblin. Orc. Scout. 	37		3	1	0	2			60	Each player with a threat of 25 or higher cannot optionally engage Goblin Scout. 			
Goblin Spearman 	KAZ	KAZ21,encounter	5	Enemy	(Goblin Hood) Plundering Goblins 		Goblin. Orc. 	15		2	2	2	2			31	Goblin Spearman gets +2 [Attack] if its attack is undefended. 	Shadow: Add Goblin Spearman to the staging area. 		
Goblin Swordsman 	KAZ	KAZ22,encounter	5	Enemy	(Goblin-Body) Goblins of the Deep 		Goblin. Orc. 	20		1	3	1	2			61	Goblin Swordsman gets +2 [Attack] if its attack is undefended. 	Shadow: Add Goblin Swordsman to the staging area.		
Goblin Tunnels 	KAZ	KAZ23,encounter	2	Location	(Goblin-Body) Goblins of the Deep 		Underground. Dark. 			2				7		63	While Goblin Tunnels is in the staing area, it gains Forced: After a Goblin is revealed from the encounter deck, remove a progress token from the current quest card. 	Shadow: Attacking enemy gets +1 [Attack]. (+3 [Attack] instead if attacking enemy is a Goblin.) 		
Great Cave Troll	KAZ	KAZ24,encounter	2	Enemy	(Chain) Deeps of Moria 		Troll	38		2	7	3	10		Victory 3	42	Immune to ranged damage. No attachments can be played on Great Cave-troll.			
Hidden Threat 	KAZ	KAZ25,encounter	2	Treachery	(Room) The Seventh Level											22	When Revealed: Each player must raise his threat by 1 for each enemy in the staging area. Then, The last player discards an attachment he controls. 			
Knees of the Mountain 	KAZ	KAZ26,encounter	1	Location	(MM) Misty Mountains		Mountain.			2				3		57	While Knees of the Mountain is in the staging area, it gains: Forced: After an enemy engages a player, it gets +1 [Attack] until the end of the round. 			
Lightless Passage 	KAZ	KAZ27,encounter	2	Location	(Torch) Twists and Turns 		Underground. Dark. 			4				4		37	Travel: Players must exhaust a Cave Torch to travel here. 	Shadow: Cancel all combat damage dealt to attacking enemy. 		
Many Roads 	KAZ	KAZ28,encounter	1	Treachery	(Torch) Twists and Turns 										Surge	39	When Revealed: Shuffle all locations in the encounter discard pile back into the encounter deck. 			
Massing in the Deep 	KAZ	KAZ29,encounter	2	Treachery	(Chain) Deeps of Moria 										Doomed 1	46	When Revealed: Reveal X additional cards from the encounter deck and add them to the staging area. X is the number of players in the game. 	Shadow: Attacking enemy gets +X [Attack]. X is the number of players in the game. 		
Mountain Warg 	KAZ	KAZ30,encounter	3	Enemy	(MM) Misty Mountains		Creature	30		2	4	2	4			55	If Mountain Warg is dealt a shadow card with no effect, return Mountain Warg to the staging area after it attacks	Shadow: Attacking enemy gets +1 [Attack]. (+2 [Attack] instead if a Mountain is the active location.) 		
New Devilry 	KAZ	KAZ31,encounter	3	Treachery	(Map) Flight from Moria											26	When Revealed: If the players are not on stage 1, shuffle the current quest card into the quest deck, then reveal a new quest card. Otherwise, New Devilry gains surge.	Shadow: If this attack is undefended, raise your threat by The Nameless Fear's [Threat] 		
Orc Drummer 	KAZ	KAZ32,encounter	1	Enemy	(Chain) Deeps of Moria 		Orc. Summoner. 	50		1	1	3	1			43	While Orc Drummer is in the staging area, each enemy gets +X [Threat]. X is the number of players in the game. 			
Orc Horn Blower 	KAZ	KAZ33,encounter	1	Enemy	(Room) The Seventh Level		Orc. Summoner. 	45		2	1	1	3		Surge	21	When Revealed. Reveal 1 card from the encounter deck and add it to the staging area. 			
Patrol Leader 	KAZ	KAZ34,encounter	2	Enemy	(Pick) Into the Pit 		Goblin. Orc.	30		3	4	3	4			14	Forced: Before patrol Leader is dealt damage, discard the top card of the encounter deck. If the discarded card is an enemy, cancel the damage.	Shadow: Cancel all damage dealt to this enemy. 		
Plundered Armoury 	KAZ	KAZ35,encounter	2	Location	(Goblin Hood) Plundering Goblins 		Underground.			3				2		34	While Plundered Armoury is in the staging area, enemies get +1 [Attack]. Response: After Plundered Armoury leaves play as an explored location, each player may attach a Weapon or Armour attachment from his hand to 1 character he controls. 			
Shadow of Fear 	KAZ	KAZ36,encounter	3	Treachery	(Map) Flight from Moria											27	When Revealed: The first player attaches Shadow of Fear to one of his heroes. (Counts as a Condition attachment with the text: Limit 1 per hero. Attached hero cannot exhaust or ready and its text box is treated as if it were blank. Action: Pay 3 resources from attached hero's pool to discard this card.) 			
Signs of Conflict 	KAZ	KAZ37,encounter	5	Treachery	(Pick) Into the Pit 										Doomed 2, Surge	15		Shadow: Defending player raises his threat by 2.		
Stairs of Nain 	KAZ	KAZ38,encounter	2	Location	(Pick) Into the Pit 		Underground.			2				4		19	Travel: The first player must exhaust 1 character he controls to travel here.	Shadow: Defending player must choose and exhaust 1 character he controls. 		
Stray Goblin 	KAZ	KAZ39,encounter	3	Enemy	(Chain) Deeps of Moria 		Goblin. Orc.	29		X	X	2	2			44	X is the number of players in the game.	Shadow: Attacking enemy gets +X [Attack]. X is the number of players in the game. 		
Sudden Pitfall 	KAZ	KAZ40,encounter	1	Treachery	(Rock) Hazards of the Pit		Hazard 									51	When Revealed: The first player must discard 1 questing character he controls, if able. This effect cannot be canceled	Shadow: Discard the defending character from play. 		
The Mountains' Roots 	KAZ	KAZ41,encounter	3	Location	(Chain) Deeps of Moria 		Underground.			X				X		47	X is the number of players in the game.	Shadow: Attacking enemy gets +X [Attack]. X is the number of players in the game. 		
The Nameless Fear 	KAZ	KAZ42,encounter	1	Enemy	(Map) Flight from Moria		Flame. Shadow	50		X	X	X	27			25	X is the number of victory points in the victory display. Immune to player card effects. The Nameless Fear cannot engage or be engaged.			
Turbulent Waters 	KAZ	KAZ43,encounter	2	Location	(MM) Misty Mountains		Mountain.			2				2		58	While Turbulent Waters is the active location, players cannot optionally engage enemies. 			
Undisturbed Bones 	KAZ	KAZ44,encounter	3	Treachery	(Goblin Hood) Plundering Goblins 											33	When Revealed: Each player must deal X damage to 1 ally he controls. X is the number of allies he controls. 	Shadow: If the defending character is an ally, discard it from play. 		
Upper Hall 	KAZ	KAZ45,encounter	3	Location	(Room) The Seventh Level		Underground.		3					4	Doomed 2	23				
Warg Lair 	KAZ	KAZ46,encounter	2	Location	(MM) Misty Mountains		Mountain.		1					3		59	When Revealed: Search the encounter deck and discard pile for 1 copy of Mountain Warg and add it to the staging area, if able. Shuffle the encounter deck. Response: After Warg Lair leaves play as an explored location, each player draws 1 card. 			
Watchful Eyes 	KAZ	KAZ47,encounter	3	Treachery	(Goblin-Body) Goblins of the Deep 											62	When Revealed: The first player attaches Watchful Eyes to one of his heroes. (Counts as a Condition attachment with the text: Limit 1 per hero. Forced: If attached hero is exhausted at the end of the combat phase, reveal 1 card from the encounter deck and add it to the staging area.) 			
Zigil Mineshaft 	KAZ	KAZ48,encounter	3	Location	(Torch) Twists and Turns 		Underground. Dark. 		5					5		38	Action: Raise each player's threat by 1 to place 1 progress token on Zigil Mineshaft. 			
A Presence in the Dark 	KAZ	KAZ49.png,KAZ50.png		Quest	(Map, Goblin Hood, Rock, Chain) Flight from Moria															
Search for an Exit - A Wrong Turn 	KAZ	KAZ51.png,KAZ52.png		Quest	(Map, Goblin Hood, Rock, Chain) Flight from Moria															
Search for an Exit - Blocked by Shadow 	KAZ	KAZ51.png,KAZ54.png		Quest	(Map, Goblin Hood, Rock, Chain) Flight from Moria															
Search for an Exit - Escape from Darkness 	KAZ	KAZ51.png,KAZ56.png		Quest	(Map, Goblin Hood, Rock, Chain) Flight from Moria															
Search for an Exit - Hasty Council 	KAZ	KAZ51.png,KAZ58.png		Quest	(Map, Goblin Hood, Rock, Chain) Flight from Moria															
Search for an Exit - Heading Down 	KAZ	KAZ51.png,KAZ60.png		Quest	(Map, Goblin Hood, Rock, Chain) Flight from Moria															
Search for an Exit - Heading Up 	KAZ	KAZ51.png,KAZ62.png		Quest	(Map, Goblin Hood, Rock, Chain) Flight from Moria															
A Way Up	KAZ	KAZ63.png,KAZ64.png		Quest	(Pick, Torch, Rock, Goblin-Body) Into The Pit															
Entering the Mines 	KAZ	KAZ65.png,KAZ66.png		Quest	(Pick, Torch, Rock, Goblin-Body) Into The Pit															
Goblin Patrol 	KAZ	KAZ67.png,KAZ68.png		Quest	(Pick, Torch, Rock, Goblin-Body) Into The Pit															
Search for the Chamber 	KAZ	KAZ69.png,KAZ70.png		Quest	(Room, Goblin-Body, Goblin-Hood) The Seventh Level															
The Fate of Balin 	KAZ	KAZ71.png,KAZ72.png		Quest	(Room, Goblin-Body, Goblin-Hood) The Seventh Level															
Ancestral Knowledge 	KAZ	KAZ73		Event	Lore				1							12	Action: Exhaust a Dwarf character to place 2 progress tokens on the active location. (4 progress tokens instead if it is an Underground or Mountain location.) 			
Bifur 	KAZ	KAZ74		Hero	Lore	*	Dwarf	7		2	1	2	3			2	Action: Pay 1 resource from a hero's resource pool to add 1 resource to Bifur's resource pool. Any player may trigger this ability. (Limit once per round.) 		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Boots from Erebor 	KAZ	KAZ75		Attachment	Neutral		Item		0							13	Attach to a Dwarf or Hobbit character. Limit 1 Boots from Erebor per character. Attached character gets +1 hit point. 			
Chance Encounter 	KAZ	KAZ76,encounter	3	Treachery	(Chain) Deeps of Moria 											45	When Revealed: Put the top enemy in the encounter discard pile into play, engaged with the first player. If this effect put no enemies into play, Chance Encounter gains surge. 	Shadow: Attacking enemy gets +1 [Attack]. (+3 [Attack] instead if engaged with the first player.) 		
Chieftain of the Pit 	KAZ	KAZ77,encounter	1	Enemy	(Goblin Hood) Plundering Goblins 		Goblin. Orc.	27		2	5	2	4			30	When Revealed: Chieftain of the Pit gets +3 [Attack] until the end of the round. 	Shadow: Attacking enemy attacks again after this attack. Deal it another shadow card for the next attack. 		
Durin's Song 	KAZ	KAZ78		Event	Leadership		Song		1							4	Action: Choose a Dwarf hero. That hero gets +2 [Willpower], +2 [Attack], and +2 [Defense] until the end of the round. 			
Dwalin 	KAZ	KAZ79		Hero	Spirit	*	Dwarf	9		1	2	2	4			1	Response: After Dwalin attacks and destroys an Orc enemy, lower your threat by 2. 		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Dwarrowdelf Axe 	KAZ	KAZ80		Attachment	Tactics		Item. Weapon.		1						Restricted 	7	Attach to a Dwarf character. Restricted. Attached character gets +1 [Attack]. Response: After attached character attacks, deal 1 damage to the defending enemy. 			
Erebor Record Keeper 	KAZ	KAZ81		Ally	Lore		Dwarf		1	1	0	0	1			11	Erebor Record Keeper cannot attack or defend. Action: Exhaust Erebor Record Keeper and pay 1 [Lore] resource to choose and ready a Dwarf character. 			
Ever Onward 	KAZ	KAZ82		Event	Leadership				3							5	Response: After players quest unsuccessfully, choose a player. That player does not raise his threat. 			
Khazad! Khazad! 	KAZ	KAZ83		Event	Tactics				0							8	Action: Choose a Dwarf character. Until the end of the phase, that character gets +3 [Attack]. 			
Narvi's Belt 	KAZ	KAZ84		Attachment	Leadership	*	Item		2							3	Attach to a Dwarf hero. Action: Exhaust Narvi's Belt to give attached hero a resource icon of your choice until the end of the phase. 			
Untroubled by Darkness 	KAZ	KAZ85		Event	Spirit				2							10	Action: Each Dwarf character gets +1 [Willpower] until the end of the phase. (+2 [Willpower] instead if the active location is an Underground or Dark location.) 			
Veteran of Nanduhirion 	KAZ	KAZ86		Ally	Tactics		Dwarf. Warrior.		4	0	3	2	3			6	Veteran of Nanduhirion enters play with 1 damage on it. 			
Zigil Miner 	KAZ	KAZ87		Ally	Spirit		Dwarf		2	1	1	1	1			9	Action: Exhaust Zigil Miner and name a number to discard the top 2 cards of your deck. If at least one of those cards has a cost equal to the named number, choose a hero you control. That hero adds resources to his resource pool equal to the named number. 			
Search for an Exit - Narrow Paths	KAZ	KAZ51.png,KAZ88.png		Quest	(Map, Goblin Hood, Rock, Chain) Flight from Moria															
Arwen Undomiel (RHG)	RHG	RHG01,encounter	1	Objective	(SnowFlake) The Redhorn Gate	*	Noldor, Noble, Ally			2	0	1	2				The first player gains control of Arwen Undomiel, as an ally. Response: After Arwen Undomiel exhausts, choose a hero. Add 1 resource to that hero's resource pool. If Arwen Undomiel leaves play, the players are defeated. 			
Avalanche! 	RHG	RHG02,encounter	1	Treachery	(SnowFlake) The Redhorn Gate		Snow										When Revealed: Exhaust each ready character and if it is the quest phase commit them to the quest. 			
Bofur 	RHG	RHG03	3	Ally	Spirit	*	Dwarf.		3	2	1	1	3			6	Quest Action: Spend 1 [Spirit] resource to put Bofur into play from your hand, exhausted and committed to a quest. If you quest successfully this phase and Bofur is still in play, return him to your hand. 			
Caradhras 	RHG	RHG04,encounter	1	Location	(SnowFlake) The Redhorn Gate	*	Mountain, Snow	3						9	Victory 3		While Caradhras is the active location, questing characters get -1 [Willpower]. Players cannot travel to Caradhras except by quest card effects			
Celebdil 	RHG	RHG05,encounter	1	Location	(SnowFlake) The Redhorn Gate	*	Mountain, Snow	3						7	Victory 2		While Celebdil is the active location, remove 2 progress tokens from it at the end of each round.			
Elrohir 	RHG	RHG06	1	Hero	Leadership	*	Noldor, Noble, Ranger	10		2	2	1	4			1	While Elladan is in play, Elrohir gets +2 [Defense].Response: After Elrohir is declared as a defender, pay 1 resource from his resource pool to ready him. 		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Fallen Stones 	RHG	RHG07,encounter	2	Treachery	(SnowFlake) The Redhorn Gate												When Revealed: The first player (choose 1): removes all progress tokens from play, or reveals 2 cards from the encounter deck and adds them to the staging area. 	Shadow: Attacking enemy gets +1 [Attack] for each progress token on the active location. 		
Fanuidhol 	RHG	RHG08,encounter	1	Location	(SnowFlake) The Redhorn Gate	*	Mountain, Snow	3						7	Victory 2		While Fanuidhol is the active loction, heroes must spend 1 resource from their resource pool to count their [Willpower] during the quest phase.			
Fell Voices 	RHG	RHG09,encounter	2	Treachery	(SnowFlake) The Redhorn Gate												When Revealed: Return the top 2 Snow cards in the encounter discard pile to the top of the encounter deck. If this effect returned less than 2 Snow treachery cards, Fell Voices gains surge. 			
Freezing Cold 	RHG	RHG10,encounter	3	Treachery	(SnowFlake) The Redhorn Gate		Snow										When Revealed: The first player attaches this card to a hero he controls. Counts as a Condition Attachment with the text: Attached hero gets -2 [Willpower] and cannot commit to a quest. If attached hero has more than 1 copy of Freezing Cold attached, discard attached hero from play. 			
Good Meal 	RHG	RHG11	3	Attachment	Neutral				0							10	Attach to a Hobbit hero. Action: Discard Good Meal to lower the cost of the next event you play this round that matches attached hero's sphere by 2.			
Keeping Count 	RHG	RHG12	3	Attachment	Tactics				0							5	Attach to a hero. Limit 1 per hero. Attached hero gets +1 [Attack] for each resource token on another copy of Keeping Count that is above the current number of resource tokens on this card. Forced: After attached hero attacks and destroys an enemy, place 1 resource token on this card. 			
Mountain Goblin 	RHG	RHG13,encounter	3	Enemy	(SnowFlake) The Redhorn Gate		Goblin. Orc.	25		1	2	2	3				Mountain Goblin gets +1 [Attack] for each Mountain location in the staging area. 	Shadow: Attacking enemy gets +1 [Attack]. (+2 [Attack] instead if the active location is a Mountain.) 		
Mountain Troll 	RHG	RHG14,encounter	2	Enemy	(SnowFlake) The Redhorn Gate		Troll	35		2	5	5	7				Mountain Troll gets +1 [Attack] for each Mountain location in the staging area.	Shadow: Attacking enemy gets +1 [Attack]. (+2 [Attack] instead if the active location is a Mountain.) 		
Needful to Know 	RHG	RHG15	3	Event	Lore				2						Secrecy 2	9	Action: Raise your threat by 1 to look at the top card of the encounter deck. Then, reduce your threat by X, where X is the threat of that card. 			
Ravenhill Scout 	RHG	RHG16	3	Ally	Lore		Dale, Scout		3	0	1	1	3			8	Action: Exhaust Ravenhill Scout to move up to 2 progress tokens from 1 location to another location. 			
Renewed Friendship 	RHG	RHG17	3	Event	Spirit				0							7	Response: After another player plays an attachment on a hero you control, you may (choose 1): ready 1 of that player's heroes, have that player draw 1 card, or lower that player's threat by 2.			
Rocky Crags 	RHG	RHG18,encounter	3	Location	(SnowFlake) The Redhorn Gate		Mountain	4					2				Travel: Each player must deal 2 damage to 1 character he controls to travel here. 	Shadow: Attacking enemy gets +1 [Attack] for each progress token on the active location.		
Snow Warg 	RHG	RHG20,encounter	3	Enemy	(SnowFlake) The Redhorn Gate		Creature, Snow	28		3	3	1	4				Allies cannot defend while Snow Warg is attacking. Forced: When Snow Warg attacks, deal 1 damage to the defending character, if able. 			
Snowstorm	RHG	RHG19,encounter	5	Treachery	(SnowFlake) The Redhorn Gate		Snow										When Revealed: Each questing character gets -1 [Willpower] until the end of the phase.	Shadow: Until the end of the phase, characters defending this attack get -1 [Willpower] and are discarded if their [Willpower] is 0.		
Taking Initiative 	RHG	RHG21	3	Event	Leadership				0							2	Action: Discard the top card of your deck. If the discarded card's printed cost is equal to or higher than the number of characters you control, draw 2 cards and deal 2 damage to any enemy. 			
The Dimrill Stair 	RHG	RHG22,encounter	1	Location	(SnowFlake) The Redhorn Gate	*	Stair	2						3	Victory 1		Travel: Reshuffle all locations in the discard pile and victory display back into the encounter deck. If you reshuffled at least two locations, reduce each player's threat by 11 and discard all copies of Freezing Cold from play.			
Timely Aid 	RHG	RHG23	3	Event	Leadership				4						Secrecy 3	3	Action: Reveal the top 5 cards of your deck and put 1 revealed ally into play, if able. Shuffle all other revealed cards back into your deck. 			
Unseen Strike 	RHG	RHG24	3	Event	Tactics				0							4	Action: Choose a character you control. Until the end of the phase, that character gets +3 [Attack] while attacking an enemy with a higher engagement cost than your threat. 			
Up the Pass	RHG	RHG25.png,RHG26.png		Quest	(SnowFlake,MM) The Redhorn Gate															
Snowdrifts	RHG	RHG27.png,RHG28.png		Quest	(SnowFlake,MM) The Redhorn Gate															
The Mountains Peak	RHG	RHG29.png,RHG30.png		Quest	(SnowFlake,MM) The Redhorn Gate															
Elladan	RTR	RTR028		Hero	Tactics	*	Noldor, Noble, Ranger	10		2	1	2	4		 	28	While Elrohir is in play, Elladan gets +2 [Attack]. Response: After Elladan is declared as an attacker, pay 1 resource from his resource pool to ready him. 		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
